Metai;Data;Vieta;Visi_ivykiai;Del_neblaiviu_vairuotoju_kaltes;Suzeistieji;Zuvusieji
2009;2009M07;silales r. sav.;5;2;5;1
2009;2009M07;Taurages r. sav.;5;0;5;1
2009;2009M07;Telsiu apskritis;16;1;21;1
2009;2009M07;Mazeikiu r. sav.;3;0;5;0
2009;2009M07;Plunges r. sav.;5;0;7;1
2009;2009M07;Rietavo sav.;4;0;4;0
2009;2009M07;Telsiu r. sav.;4;1;5;0
2009;2009M07;Utenos apskritis;18;3;21;2
2009;2009M07;Anyksciu r. sav.;1;1;1;0
2009;2009M07;Ignalinos r. sav.;3;0;4;0
2009;2009M07;Moletu r. sav.;6;1;9;0
2009;2009M07;Utenos r. sav.;4;0;2;2
2009;2009M07;Visagino sav.;0;0;0;0
2009;2009M07;Zarasu r. sav.;4;1;5;0
2009;2009M07;Vilniaus apskritis;62;6;75;7
2009;2009M07;Elektrenu sav.;0;0;0;0
2009;2009M07;salcininku r. sav.;2;0;2;0
2009;2009M07;sirvintu r. sav.;4;1;4;1
2009;2009M07;svencioniu r. sav.;6;1;6;1
2009;2009M07;Traku r. sav.;4;2;7;0
2009;2009M07;Ukmerges r. sav.;5;1;8;1
2009;2009M07;Vilniaus m. sav.;33;0;35;2
2009;2009M07;Vilniaus r. sav.;8;1;13;2
2009;2009M08;Lietuvos Respublika;349;30;393;33
2009;2009M08;Alytaus apskritis;14;4;17;1
2009;2009M08;Alytaus m. sav.;1;0;1;0
2009;2009M08;Alytaus r. sav.;5;2;8;0
2009;2009M08;Druskininku sav.;1;0;0;1
2009;2009M08;Lazdiju r. sav.;3;1;3;0
2009;2009M08;Varenos r. sav.;4;1;5;0
2009;2009M08;Kauno apskritis;85;5;92;4
2009;2009M08;Birstono sav.;1;0;2;0
2009;2009M08;Jonavos r. sav.;9;1;9;0
